 region_name ,Region Name,District Name,Settlement Code, Settlement Name ,Settlement Type, X Coordinates , Y Coordinates ,Absentees (HH) ,Absentees,Absentees between 2015-2018 (HH),Absentees between 2015-2018,Absentees in 2019 (HH),Absentees in 2019,  Residents (HH)  ,  Residents ,Returnees from internal displacement (HH), Returnees from internal displacement,Returnees between 2015-2018 (HH),Returnees between 2015-2018,Returnees in 2019 (HH),Returnees in 2019, Returnees from abroad (HH) ,Returnees from abroad,Returnees  from abroad between 2015-2018 (HH),Returnees  from abroad between 2015-2018,Returnees  from abroad during 2019 (HH) ,Returnees  from abroad during 2019, IDPs (HH) ,  IDPs (individuals)  , IDPs between 2015-2018 (HH) , IDPs between 2015-2018 , IDPs in 2019 (HH)  , IDPs during 2019 , Accesibility , Overall Reliability , Total_inflows , Current Population , IDPs ind (Sites) , IDPs ind (Rural and Urban) , IDPs ind Total , Residents ind (Rural and Urban) , Resident HH (Rural and Urban) , Rural IDPs (since 2015-2018 ind)  , Rural IDPs (since 2015-2018 HH) , Rural IDPs (since 2019 ind)  ,Rural IDPs (since 2019 HH), Urban IDPs (since 2015-2018 ind)  , Urban IDPs (since 2015-2018 HH) , Urban IDPs (since 2019 ind)  , Urban IDPs (since 2019 HH) , Urban IDPs (ind) , Rural IDPs (ind) 
Bakool,Bakool,Xudur,NB-3814-Z12-003,Damud,Rural, 44.04058 , 4.00876 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A15-004,Buurow,Rural, 44.13935 , 3.97611 ,0.00,0.00,0.00,0.00,0.00,0.00, 70 , 420 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 420 , -   , -   , -   , 420 , 70 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Y15-004,Buulo Ibdow,Rural, 44.13795 , 4.04217 ,0.00,0.00,0.00,0.00,0.00,0.00, 90 , 540 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 540 , -   , -   , -   , 540 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A12-002,Borodo,Rural, 44.04511 , 3.99288 ,0.00,0.00,0.00,0.00,0.00,0.00, 80 , 480 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 480 , -   , -   , -   , 480 , 80 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-W17-004,Darbaas,Rural, 44.27170 , 4.16492 ,0.00,0.00,0.00,0.00,0.00,0.00, 160 , 960 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 960 , -   , -   , -   , 960 , 160 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z12-014,Holiskaa,Rural, 44.01251 , 4.01398 ,0.00,0.00,0.00,0.00,0.00,0.00, 90 , 540 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 540 , -   , -   , -   , 540 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Q07-001,Gheider Moro Mererti,Rural, 43.81710 , 4.38130 ,0.00,0.00,0.00,0.00,0.00,0.00, 140 , 840 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 840 , -   , -   , -   , 840 , 140 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B18-001,Buur Gaboy,Rural, 44.27461 , 3.95240 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z12-010,Qoryleedey,Rural, 44.00584 , 4.02757 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-W14-001,Dudumaale,Rural, 44.09490 , 4.13241 ,0.00,0.00,0.00,0.00,0.00,0.00, 93 , 558 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 558 , -   , -   , -   , 558 , 93 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
